date,open,high,low,close,volume
2019-08-07,2230,2238.5,2207.25,2213.45,2165362
2019-08-08,2228.9,2281,2218.9,2258.1,2073298
2019-08-09,2260,2267.9,2241.35,2246.25,1744550
2019-08-12,2246.25,2246.25,2246.25,2246.25,0
2019-08-13,2245,2246.25,2194.3,2199.45,1647281
2019-08-14,2181.1,2217.85,2167.4,2204.4,1945002
2019-08-15,2204.4,2204.4,2204.4,2204.4,0
2019-08-16,2241.4,2241.4,2143.25,2165.1,3755507
2019-08-19,2180,2186,2157.7,2163,974884
2019-08-20,2172,2205,2166.5,2186.75,1843611
2019-08-21,2184.95,2202,2182.25,2186.2,1214408
2019-08-22,2187,2235.65,2170,2216,2131601
2019-08-23,2214.95,2259.9,2213.9,2247.7,2826425
2019-08-26,2247,2282,2225,2276.3,2345475
2019-08-27,2270,2274.85,2229,2236.5,3432106
2019-08-28,2240,2252.15,2216,2239.25,1294621
2019-08-29,2222.2,2248.2,2222.2,2233.45,1670652
2019-08-30,2241,2266,2218,2259.6,2583625
2019-09-02,2259.6,2259.6,2259.6,2259.6,0
2019-09-03,2270,2296.2,2236.95,2251.6,2545060
2019-09-04,2265,2270,2233,2245.4,2228092
2019-09-05,2242.2,2253.65,2207.3,2215.3,2055943
2019-09-06,2216,2233.5,2192.6,2197.5,1890550
2019-09-09,2200,2202.85,2179.8,2182.85,1703945
2019-09-10,2182.85,2182.85,2182.85,2182.85,0
2019-09-11,2186,2195,2146.55,2154,2627440
2019-09-12,2155,2165,2120.35,2133.6,2118859
2019-09-13,2135,2157.95,2115.55,2141.95,2291174
2019-09-16,2159.95,2173.4,2126.4,2150,2597948
2019-09-17,2154.95,2156.55,2105.6,2122.65,2796530
2019-09-18,2126.4,2142.95,2113.15,2138.55,1454663
2019-09-19,2135,2135.8,2091,2101.95,1652691
2019-09-20,2104.9,2129.4,2057,2065.45,6941979
2019-09-23,2099,2099,1975,2015.8,6323401
2019-09-24,2015,2061,2013,2044.7,4620978
2019-09-25,2065,2092,2060.05,2088.45,4002232
2019-09-26,2097.9,2107,2063,2087.6,4234281
2019-09-27,2085,2085.2,2051.4,2056.15,2046795
2019-09-30,2061.85,2104,2060,2099.3,2620039
2019-10-01,2095.95,2095.95,2039.7,2059.95,3342877
2019-10-02,2059.95,2059.95,2059.95,2059.95,0
2019-10-03,2070,2081.15,2046.15,2060.25,2317618
2019-10-04,2060.6,2087.95,2054.95,2079.35,2163251
2019-10-07,2080,2094.5,2041,2047.7,2177916
2019-10-08,2047.7,2047.7,2047.7,2047.7,0
2019-10-09,2060,2060,2015.5,2020.1,2066920
2019-10-10,2028,2039.05,1997.1,2004.45,2881452
2019-10-11,1931,1995,1925,1986.85,12593069
2019-10-14,1995,2032.75,1968,2021,3510704
2019-10-15,2032,2047,2022.7,2037.3,2261310
2019-10-16,2038,2056,2016,2046.4,3034082
2019-10-17,2014,2038,1999.3,2030.95,3818774
2019-10-18,2037.5,2063.9,2025,2057.35,3087901
2019-10-21,2057.35,2057.35,2057.35,2057.35,0
2019-10-22,2080,2111.5,2040.05,2051.4,5552505
2019-10-23,2060,2083.85,2052.5,2070.1,2348134
2019-10-24,2084,2099,2061.3,2082,2798671
2019-10-25,2094,2130,2075.05,2124.95,3954245
2019-10-27,2129,2129,2108.8,2115.7,224405
2019-10-28,2124.95,2124.95,2124.95,2124.95,0
2019-10-29,2121.5,2201.7,2121.5,2194.85,5064173
2019-10-30,2225,2260,2176.85,2252.8,5195136
2019-10-31,2250,2284.95,2237,2269.65,4879261
2019-11-01,2264,2275,2195,2200.9,4172620
2019-11-04,2207,2229.2,2180.9,2193.95,2646411
2019-11-05,2197,2211,2169,2201.85,2693475
2019-11-06,2200,2210.8,2179,2188.5,2540719
2019-11-07,2204.5,2204.5,2175.2,2185.35,1915598
2019-11-08,2189.6,2189.6,2124,2129.95,2788759
2019-11-11,2135,2139,2091,2100.95,2983768
2019-11-12,2100.95,2100.95,2100.95,2100.95,0
2019-11-13,2118,2183.8,2118,2178.6,3823365
2019-11-14,2187.5,2200,2146.7,2196.8,2995915
2019-11-15,2196,2211.5,2168.75,2174.45,2724180
2019-11-18,2178.4,2187.75,2148.75,2152.6,1611089
2019-11-19,2153,2154.65,2105,2108.8,2975313
2019-11-20,2121.95,2135,2094.5,2108.55,2894129
2019-11-21,2112,2126.6,2107.4,2118.1,2052574
2019-11-22,2097,2107,2060.5,2071.7,3742049
2019-11-25,2074.55,2084.95,2052.2,2081.5,2737010
2019-11-26,2089.85,2097.9,2035.05,2046.65,6561580
2019-11-27,2052,2071.7,2046.55,2054.3,2907521
2019-11-28,2067.05,2094.4,2060,2077.35,2924429
2019-11-29,2085,2085,2045.8,2053.25,2064271
2019-12-02,2060,2067.7,2016,2021.05,3809860
2019-12-03,2027.7,2062,2010,2051,4664774
2019-12-04,2053,2082,2045.5,2078.5,3334301
2019-12-05,2083,2126.8,2068.35,2121.3,3902721
2019-12-06,2124,2128,2101,2123.6,1829461
2019-12-09,2127.95,2127.95,2053.5,2060.45,2244747
2019-12-10,2060,2060.85,2003.25,2012.85,4520045
2019-12-11,2025.4,2048,2006.75,2041.9,4943024
2019-12-12,2051.1,2083.65,1984,2020.9,7137306
2019-12-13,2023,2077.4,2007,2071.25,5711133
2019-12-16,2096,2136,2080.3,2126.75,5574177
2019-12-17,2126.5,2169,2119,2164.95,6059673
2019-12-18,2174,2203.45,2153,2167.75,8251081
2019-12-19,2179.8,2236.5,2167.55,2229.05,6251505
2019-12-20,2220,2246.7,2208.25,2222.9,5548338
2019-12-23,2210,2241.95,2210,2231.7,2247329
2019-12-24,2239,2243.55,2211.15,2215.6,1805896
2019-12-25,2215.6,2215.6,2215.6,2215.6,0
2019-12-26,2216.4,2229,2195.2,2201.95,1880367
2019-12-27,2208,2226.4,2176,2198.5,2720261
2019-12-30,2207,2225,2177.1,2183.2,2288830
2019-12-31,2189,2197,2157.45,2161.7,1909289
2020-01-01,2168,2183.9,2154,2167.6,1354908
2020-01-02,2179.95,2179.95,2149.2,2157.65,2380752
2020-01-03,2164,2223,2164,2200.65,4655761
2020-01-06,2205,2225.95,2187.9,2200.45,3023209
2020-01-07,2200.5,2214.65,2183.8,2205.85,2429317
2020-01-08,2205,2260,2202.05,2255.25,5197454
2020-01-09,2248.75,2251.95,2210,2214.35,3734173
2020-01-10,2228,2234,2208,2213.55,1915807
2020-01-13,2217.85,2218.95,2184.7,2190.35,2843893
2020-01-14,2195,2229.8,2195,2206.9,2948452
2020-01-15,2213,2231,2194.2,2226.9,2620681
2020-01-16,2226.95,2249,2215,2238.8,3117214
2020-01-17,2240.75,2253.55,2213,2219.1,3281059
2020-01-20,2194.9,2242.2,2156.2,2170.35,5817599
2020-01-21,2169.95,2186.55,2158.05,2171.05,1902980
2020-01-22,2181,2210,2173.7,2206.9,1773686
2020-01-23,2209.8,2217.75,2183.7,2190.95,2069866
2020-01-24,2190.95,2190.95,2170,2183.4,1319430
2020-01-27,2189.7,2193.45,2165,2169.25,1549101
2020-01-28,2174,2187.8,2152,2183.75,1743024
2020-01-29,2185,2186.95,2150,2154.6,2306761
2020-01-30,2160,2165,2125,2137.85,2098567
2020-01-31,2139.4,2144.35,2071.6,2079.05,3287223
2020-02-01,2079.5,2180.7,2063.6,2164.85,3319716
2020-02-03,2152,2194.7,2093.2,2102.5,4728073
2020-02-04,2129,2136.7,2086.6,2107.75,3509339
2020-02-05,2115,2156.7,2104.3,2146.55,2439322
2020-02-06,2145,2174.2,2115.5,2128.35,2640065
2020-02-07,2139,2151,2119,2136.55,2083442
2020-02-10,2140.9,2167,2119,2161.95,2383032
2020-02-11,2163,2174.8,2147.6,2153.4,1335820
2020-02-12,2151.1,2185,2150,2170.75,1620407
2020-02-13,2172.95,2197,2171,2191.95,1645948
2020-02-14,2188,2212,2171,2184.2,1500115
2020-02-17,2196.95,2217,2190.2,2203.25,1774724
2020-02-18,2199.95,2221,2186.05,2215.75,2486223
2020-02-19,2215.75,2230,2190.5,2196.35,1760463
2020-02-20,2204.5,2214.4,2151.25,2156.8,2317278
2020-02-21,2156.8,2156.8,2156.8,2156.8,0
2020-02-24,2156,2178.95,2106.7,2115.35,3092877
2020-02-25,2115.5,2176.65,2111,2156.15,2674567
2020-02-26,2154,2163.9,2112.95,2123.6,2686842
2020-02-27,2119.95,2119.95,2086.2,2105.5,2349001
2020-02-28,2068,2069.5,1990,2000.15,4298076
2020-03-02,2035,2053.95,1985.7,2001.3,2667076
2020-03-03,2020,2060,2012,2036.2,2757585
2020-03-04,2056,2094.45,2025,2083.2,3237002
2020-03-05,2085.7,2147.75,2084.05,2125.05,3937056
2020-03-06,2098,2123.65,2071.6,2116.45,2595027
2020-03-09,2075,2079.9,1935,1972.35,4940975
2020-03-10,1972.35,1972.35,1972.35,1972.35,0
2020-03-11,1933,1987.3,1920,1953.7,6796449
2020-03-12,1904,1908.4,1758.35,1769.85,8728786
2020-03-13,1687.9,1820,1506.05,1806.3,8029720
2020-03-16,1755,1842.25,1675.85,1696.4,7844271
2020-03-17,1730,1731,1623.15,1658,5713248
2020-03-18,1676.8,1713.55,1627.75,1654.4,7258778
2020-03-19,1559.7,1685.45,1546.75,1636.35,5135111
2020-03-20,1630,1869,1627,1797.45,8547498
2020-03-23,1620,1750,1617.75,1669.7,7003490
2020-03-24,1653.05,1770,1632.85,1703.15,6350865
2020-03-25,1700,1810,1680,1750.3,2765520
2020-03-26,1831.6,1832.05,1722.55,1790.95,4556067
2020-03-27,1820,1850,1750.4,1824.5,4331250
2020-03-30,1766,1905,1763.55,1778.5,8513547
2020-03-31,1837.4,1855,1780,1826.1,3927593
2020-04-01,1825.9,1834.75,1702,1708.75,4941878
2020-04-02,1708.75,1708.75,1708.75,1708.75,0
2020-04-03,1740,1740,1650,1654.2,5735369
2020-04-06,1654.2,1654.2,1654.2,1654.2,0
2020-04-07,1710,1785.85,1705,1775.2,5427577
2020-04-08,1760,1806,1701,1705.45,6285615
2020-04-09,1750.45,1778.8,1731.2,1766.15,5307397
2020-04-10,1766.15,1766.15,1766.15,1766.15,0
2020-04-13,1761,1787,1746,1759.25,2990438
2020-04-14,1759.25,1759.25,1759.25,1759.25,0
2020-04-15,1785,1812,1727.8,1735.15,4761399
2020-04-16,1709.95,1764.9,1675.05,1716.05,6245533
2020-04-17,1800,1851.95,1753,1806.2,9895823
2020-04-20,1830,1830,1802.5,1818.65,3244282
2020-04-21,1765,1794.6,1727.7,1737.65,5122541
2020-04-22,1737.65,1790,1719.15,1769.5,3829836
2020-04-23,1780,1900,1760.85,1878.25,5934366
2020-04-24,1840.7,1851.95,1807.8,1818.55,2987102
2020-04-27,1832.3,1875,1825,1836.6,3374741
2020-04-28,1865,1868,1832.6,1859.05,2678505
2020-04-29,1874,1912.55,1850.05,1905.65,4241510
2020-04-30,1980,2032,1942.2,2014.45,5915544
2020-05-01,2014.45,2014.45,2014.45,2014.45,0
2020-05-04,1966,1966,1913.65,1930.45,3729348
2020-05-05,1955.1,1977,1927,1932.75,2905528
2020-05-06,1939.8,1953.7,1893.6,1903.6,3517431
2020-05-07,1910,1934.45,1883.35,1891.65,3166754
2020-05-08,1939.1,1939.5,1886.25,1893.4,2686530
2020-05-11,1909,1951.4,1909,1935.3,2449841
2020-05-12,1933.4,1956.5,1910.25,1949.5,3256595
2020-05-13,1994,1994,1925.65,1949.65,2656665
2020-05-14,1910,1923.1,1891.1,1902.35,2263146
2020-05-15,1916,1917.4,1865.2,1892.9,3173682
2020-05-18,1907,1952.95,1872.1,1945.6,3727694
2020-05-19,1903,1966.45,1903,1948.65,3198693
2020-05-20,1950,1962.9,1931.7,1953.6,2778505
2020-05-21,1946,1998,1941.15,1991.2,3400908
2020-05-22,1977.1,2032,1961.25,2020.35,3663418
2020-05-25,2020.35,2020.35,2020.35,2020.35,0
2020-05-26,2015,2024,1925,1943,4575317
2020-05-27,1959,2010,1941.25,2005.3,3482160
2020-05-28,1988.5,2014,1971.3,2004.3,3475681
2020-05-29,1982,2002.65,1962.4,1972.35,7237735
2020-06-01,1990,2060,1981.1,2045.25,3747773
2020-06-02,2060.2,2081,2040.05,2047.15,2443886
2020-06-03,2051.85,2063.75,2020,2046.15,3699799
2020-06-04,2046.75,2100,2046.75,2091.55,4048593
2020-06-05,2091.6,2098,2040.3,2048.25,3573289
2020-06-08,2078.25,2095,2062.1,2071.75,2957841
2020-06-09,2063.1,2095.5,2060.25,2072.05,2909439
2020-06-10,2077.05,2132,2073.5,2108.75,5168397
2020-06-11,2100,2105,2061.8,2067.65,2269513
2020-06-12,2011.2,2049.2,2011,2039.5,2842642
2020-06-15,2039.1,2059,2000.95,2029.9,2399022
2020-06-16,2065,2073.95,2031,2045.8,2146528
2020-06-17,2046,2058.85,2026.55,2047.8,2703527
2020-06-18,2045,2059.2,2025.2,2038.1,1944389
2020-06-19,2042,2090,2032,2044.6,5681758
2020-06-22,2050,2052.25,2019.15,2027.95,3196138
2020-06-23,2027,2044,2010,2035.3,4205944
2020-06-24,2034,2064.25,2031.6,2042.2,2560937
2020-06-25,2035,2060,2009.25,2016.1,3043931
2020-06-26,2025,2132,2019.95,2118.85,6300722
2020-06-29,2108,2127.6,2091.3,2101.65,3076341
2020-06-30,2100,2111.9,2075.05,2082.15,3071725
2020-07-01,2079.7,2113.95,2079.5,2092.05,2503466
2020-07-02,2102,2165,2098,2157.15,3758699
2020-07-03,2163.65,2205,2160.25,2199.65,4185208
2020-07-06,2205,2269.9,2205,2263.2,5190366
2020-07-07,2275,2302.7,2232.15,2269.9,5630055
2020-07-08,2270,2274.4,2207.6,2218.9,2793358
2020-07-09,2229,2244.5,2191.05,2204.35,3443998
2020-07-10,2205.25,2249.85,2176,2222.35,9610320
2020-07-13,2220,2244.95,2210,2220,2963503
2020-07-14,2210,2239,2165,2171.95,2976738
2020-07-15,2185,2260,2181.1,2233.9,5569321
2020-07-16,2244,2333,2220.1,2234.75,8582118
2020-07-17,2237,2243.9,2190.05,2200.75,4509135
2020-07-20,2201,2226.9,2190.8,2207.9,2952646
2020-07-21,2230,2238.65,2201.15,2225.05,2665286
2020-07-22,2231,2231,2184.2,2190.95,2861534
2020-07-23,2190.95,2190.95,2163,2171.2,2265766
2020-07-24,2154.5,2163,2125.1,2157.4,3665100
2020-07-27,2165,2215,2163.5,2206.8,4248480
2020-07-28,2215,2320,2215,2309.75,8092319
2020-07-29,2292,2342,2246.05,2276.05,6090431
2020-07-30,2285.9,2358,2272.25,2279.5,7098496
2020-07-31,2303.15,2334.8,2257.45,2281.4,4723290
2020-08-03,2290.45,2303.85,2230.7,2254.15,4012337
2020-08-04,2259.95,2269.65,2225.05,2249.7,2927928
2020-08-05,2260,2300,2253,2259.5,3800641
2020-08-06,2275,2319.5,2265.35,2308.1,4748047
2020-08-07,2308,2328,2287,2295.35,3165491
2020-08-10,2318,2325,2276.05,2282.8,2929353
2020-08-11,2283,2312,2275.6,2279.9,2774423
2020-08-12,2288.35,2296.4,2246.55,2257.35,3415751
2020-08-13,2273,2300,2250.5,2254.45,2695682
2020-08-14,2277,2281.3,2233.1,2242.15,2270405
2020-08-17,2263,2270,2238.25,2253.4,2625630
2020-08-18,2262.8,2289,2248.3,2269.75,3493374
2020-08-19,2276.35,2284.6,2252.5,2256.6,2843005
2020-08-20,2257,2276.55,2240.05,2252.85,2895164
2020-08-21,2260,2271,2241.05,2248.6,1975294
2020-08-24,2250.6,2259.95,2230,2248.1,2167966
2020-08-25,2245,2250,2233.55,2242.65,1663419
2020-08-26,2242,2259.9,2216.45,2253.5,2618149
2020-08-27,2266,2287.35,2241.75,2248.4,3579393
2020-08-28,2268.4,2279.95,2235.1,2238.55,2941136
2020-08-31,2240,2276.2,2228,2257.25,6018154
2020-09-01,2269,2278,2241.3,2246.35,3610908
2020-09-02,2247,2268.75,2241.65,2265.15,2084137
2020-09-03,2268,2324,2268,2299.5,4654146
2020-09-04,2275,2324.25,2262.95,2288.8,5231303
2020-09-07,2289,2343.5,2283.35,2327.05,4620401
2020-09-08,2335.95,2390.45,2327.05,2348.2,7453998
2020-09-09,2325,2359,2320,2327.65,3866535
2020-09-10,2335,2348.5,2324.3,2331.15,2308813
2020-09-11,2330.95,2383,2330.15,2374.1,4145424
2020-09-14,2384.1,2505.75,2381.85,2491.4,7512131
2020-09-15,2491.4,2538,2464.6,2491.4,7318770
2020-09-16,2488.95,2507.6,2477.3,2503,3074003
2020-09-17,2480,2495.75,2450.6,2460.95,4828176
2020-09-18,2485,2500.4,2436.4,2449.9,4183256
2020-09-21,2465,2504.9,2452.15,2465.3,4598809
2020-09-22,2485,2555,2458,2522.95,7499613
2020-09-23,2510,2519.85,2409,2467.45,7502280
2020-09-24,2450,2450,2302.6,2332.25,8424708
2020-09-25,2368,2440,2352.1,2422.3,8228267
2020-09-28,2440,2444,2366,2426.3,4347166
2020-09-29,2434.85,2511.05,2426.3,2488.4,6995811
2020-09-30,2489,2505,2460,2492.3,3917166
2020-10-01,2510,2540,2492.3,2523.45,2610337
2020-10-02,2523.45,2523.45,2523.45,2523.45,0
2020-10-05,2620,2728.1,2603.05,2705.8,17412105
2020-10-06,2736,2736,2650.1,2714.3,9846367
2020-10-07,2742,2770,2703,2735.95,9656101
2020-10-08,2800,2885,2800,2825.7,19839329
2020-10-09,2810,2829.85,2780,2812.95,7739245
2020-10-12,2815.5,2854,2800.75,2830,4623203
2020-10-13,2845,2854.9,2812.2,2826.55,4209878
2020-10-14,2842,2842,2787.55,2809.6,4395936
2020-10-15,2811,2827.75,2727,2740.6,6629355
2020-10-16,2750.1,2771.65,2731.3,2763.3,5273773
2020-10-19,2774,2774,2706.6,2711.55,3331194
2020-10-20,2725,2759.9,2717.95,2739,3406273
2020-10-21,2739,2749,2663.05,2675.4,4570143
2020-10-22,2661,2686.65,2638.1,2671.15,5262294
2020-10-23,2687.8,2702,2670.1,2686.8,3499091
2020-10-26,2689.95,2709.95,2670.5,2688.2,2672752
2020-10-27,2699.75,2718.15,2624.1,2630.15,3537502
2020-10-28,2650,2655.95,2606,2622.2,3569445
2020-10-29,2608,2655,2600.25,2632.65,3105968
2020-10-30,2636.1,2674.35,2621.6,2664.85,3427003
2020-11-02,2660,2664.85,2600.05,2604.6,2571196
2020-11-03,2604,2665,2601.05,2633.6,2879269
2020-11-04,2610,2721.85,2610,2653.15,4893928
2020-11-05,2685,2710,2667,2685.7,2816502
2020-11-06,2699,2713.25,2681.3,2707.45,3884421
2020-11-09,2731.1,2744,2695.1,2726.6,3646592
2020-11-10,2697.2,2713.15,2638.35,2649.6,4760020
2020-11-11,2667.95,2692.8,2643.4,2687.8,3242441
2020-11-12,2686,2713,2661.75,2671.05,2437505
2020-11-13,2655.75,2664.9,2636,2656.85,2548093
2020-11-14,2677.95,2689,2660.05,2670.35,298819
2020-11-16,2656.85,2656.85,2656.85,2656.85,0
2020-11-17,2695,2695,2650.05,2666.05,2827273
2020-11-18,2661,2664.2,2607.05,2626.65,2893762
2020-11-19,2637,2676.15,2630.85,2636.9,4167501
2020-11-20,2655,2676,2627.55,2660.25,2711471
2020-11-23,2690,2730,2665,2724.25,3706418
2020-11-24,2734.4,2743,2705,2722.05,3120516
2020-11-25,2729,2732.95,2688.2,2701.3,3302249
2020-11-26,2686,2730.95,2680,2720.6,2341099
2020-11-27,2705,2717.7,2669.05,2679.65,6086808
2020-11-30,2679.65,2679.65,2679.65,2679.65,0
2020-12-01,2679,2735.9,2624.45,2726.8,3605017
2020-12-02,2719,2754.7,2702.45,2749.55,2509032
2020-12-03,2773.9,2773.9,2700.8,2709.45,2852548
2020-12-04,2710.8,2738.85,2699,2727.55,2686527
2020-12-07,2715,2744,2706.15,2737.7,1996400
2020-12-08,2740,2805.55,2732.45,2797.3,4277818
2020-12-09,2815,2840,2793.15,2810.8,3659996
2020-12-10,2818,2827.3,2780.25,2784.3,2127801
2020-12-11,2792.7,2807.7,2764.55,2783.6,1795408
2020-12-14,2802,2804,2756.25,2797.7,2483658
2020-12-15,2786,2794.7,2755,2761.55,2365509
2020-12-16,2779,2819.8,2760.45,2814.2,2565149
2020-12-17,2811,2853.7,2805,2838.2,2863460
2020-12-18,2868,2898,2846.2,2861,6076692
2020-12-21,2861,2886.5,2785,2820.15,2705195
2020-12-22,2834,2883.65,2818.65,2872.5,2881737
2020-12-23,2876.05,2919,2865.45,2908.75,2790988
2020-12-24,2909,2921.35,2883.2,2909.35,1807144
2020-12-25,2909.35,2909.35,2909.35,2909.35,0
2020-12-28,2910,2949.7,2902,2929.4,2108994
2020-12-29,2920,2952,2920,2930.5,1994151
2020-12-30,2934.4,2947.7,2902,2909.3,2637968
2020-12-31,2900,2905,2845,2862.75,4040956
2021-01-01,2880,2940,2879,2928.25,2681440
2021-01-04,2950,3050.75,2940.95,3039.45,5113293
2021-01-05,3039.6,3114.25,3039.6,3093,5801309
2021-01-06,3100,3113.5,3037.2,3051.5,3726716
2021-01-07,3075,3080.85,3000.25,3032.8,3717827
2021-01-08,3090,3128,3060,3120.9,5879039
2021-01-11,3230,3230,3146.55,3176.45,9508039
2021-01-12,3176.45,3210,3150,3174.85,3611458
2021-01-13,3175,3177,3126.25,3158.95,3572801
2021-01-14,3155,3266.5,3120.4,3250.7,6931542
2021-01-15,3235,3274,3210,3233.35,4131692
2021-01-18,3250,3256.75,3187.4,3221.75,4160906
2021-01-19,3233,3279,3232,3260.7,2975735
2021-01-20,3270,3327.95,3267.1,3308.8,3453446
2021-01-21,3305,3309.15,3262.1,3273.85,2778546
2021-01-22,3241.9,3325,3241.9,3303.1,3052459
2021-01-25,3308.95,3339.8,3278.65,3291.3,2272887
2021-01-26,3291.3,3291.3,3291.3,3291.3,0
2021-01-27,3300,3306.45,3227,3261.05,2786662
2021-01-28,3230,3275,3183.8,3196.55,3083938
2021-01-29,3210.05,3216.85,3100,3111.35,5445659
2021-02-01,3100,3165,3044.1,3139.35,3985846
2021-02-02,3174,3224,3150,3203.45,2881837
2021-02-03,3213,3236,3162.65,3200.05,2505866
2021-02-04,3216.05,3237.85,3176,3188.45,2057261
2021-02-05,3198.95,3205.85,3129,3157.95,2366135
2021-02-08,3189.5,3226,3155.15,3214.1,2526592
2021-02-09,3195,3245.8,3164,3176.9,2658751
2021-02-10,3185,3219.4,3157.3,3213.3,2127983
2021-02-11,3215,3219.3,3185.05,3206,1165882
2021-02-12,3184.2,3245.5,3182,3190.8,2777404
2021-02-15,3209,3209,3131.55,3139.85,2630853
2021-02-16,3150,3167.65,3100,3108.8,3435770
2021-02-17,3105.1,3132.85,3045.55,3073.1,3678426
2021-02-18,3065,3097.9,3031,3057.35,4189909
2021-02-19,3058,3087.15,3016.15,3071.85,3725028
2021-02-22,3096,3096,2943.15,2958.45,5366696
2021-02-23,2970,3028,2968,2980.2,3832829
2021-02-24,2972,3003.35,2921.15,2948.1,3774549
2021-02-25,2974,3029.9,2968.45,2995.3,4224073
2021-02-26,2960,2972.35,2880,2894.3,5553153
